opt_segment,RMR_MODEL_LOGIN_1_model_score1,login22_score,datatype,goods_actioned,prevention_rate,accuracy,objf
LS_0120_pw_gray_XO,560,,1,0.00659854,0.790120072,0.994201272,0.75322507
LS_0120_pw_gray_XO,565,,1,0.006566919,0.789960577,0.994227741,0.753215376
LS_0120_pw_gray_XO,570,,1,0.006538812,0.789812681,0.994251235,0.753205515
LS_0120_pw_gray_XO,575,,1,0.006516454,0.789661439,0.994269689,0.75319081
LS_0120_pw_gray_XO,580,,1,0.006495373,0.789515328,0.994287069,0.753176232
LS_0120_pw_gray_XO,585,,1,0.006471737,0.789364755,0.99430666,0.753162599
LS_0120_pw_gray_XO,590,,1,0.006450976,0.789203698,0.994323669,0.753144746
LS_0120_pw_gray_XO,595,,1,0.006427979,0.789047772,0.994342678,0.753129566
LS_0120_pw_gray_XO,600,,1,0.006405302,0.788887161,0.994361383,0.753113202
LS_0120_pw_gray_XO,605,,1,0.006378152,0.788724766,0.994383999,0.753099722
LS_0120_pw_gray_XO,610,,1,0.006356433,0.788577986,0.99440198,0.753085499
LS_0120_pw_gray_XO,615,,1,0.006339505,0.788421167,0.994415701,0.753065753
LS_0120_pw_gray_XO,620,,1,0.006323215,0.788271487,0.994428918,0.753047005
LS_0120_pw_gray_XO,625,,1,0.00630469,0.788116453,0.994444063,0.75302879
LS_0120_pw_gray_XO,630,,1,0.006290636,0.787948704,0.994455205,0.753004737
LS_0120_pw_gray_XO,635,,1,0.006275624,0.787770693,0.994467121,0.752979286
LS_0120_pw_gray_XO,640,,1,0.006258696,0.787613206,0.994480866,0.752959422
LS_0120_pw_gray_XO,645,,1,0.006247197,0.787446572,0.994489791,0.752933749
LS_0120_pw_gray_XO,650,,1,0.006236338,0.787290199,0.99449823,0.75290971
LS_0120_pw_gray_XO,655,,1,0.006220367,0.787130481,0.994511134,0.752888703
LS_0120_pw_gray_XO,660,,1,0.006206314,0.786967639,0.994522341,0.752865669
LS_0120_pw_gray_XO,665,,1,0.006190663,0.786795875,0.994534892,0.752841978
LS_0120_pw_gray_XO,670,,1,0.006178526,0.786611619,0.994544278,0.752813185
LS_0120_pw_gray_XO,675,,1,0.006161278,0.786426024,0.994558148,0.752787838
LS_0120_pw_gray_XO,680,,1,0.00614946,0.786245114,0.994567286,0.752759502
LS_0120_pw_gray_XO,685,,1,0.006137962,0.786059519,0.994576116,0.752729981
LS_0120_pw_gray_XO,690,,1,0.006128379,0.78585831,0.994583158,0.752695881
LS_0120_pw_gray_XO,695,,1,0.006116562,0.785658438,0.99459218,0.752663683
LS_0120_pw_gray_XO,700,,1,0.006104744,0.785448306,0.994601136,0.752629394
LS_0120_pw_gray_XO,705,,1,0.006094523,0.785228581,0.994608626,0.752591987
LS_0120_pw_gray_XO,710,,1,0.006079511,0.78502871,0.994620473,0.752562123
LS_0120_pw_gray_XO,715,,1,0.006071526,0.784809655,0.994626009,0.752523231
LS_0120_pw_gray_XO,720,,1,0.00606386,0.78459863,0.994631322,0.752485747
LS_0120_pw_gray_XO,725,,1,0.006054278,0.784389613,0.994638339,0.75245007
LS_0120_pw_gray_XO,730,,1,0.006044057,0.784168104,0.994645838,0.752412312
LS_0120_pw_gray_XO,735,,1,0.006035753,0.783922727,0.994651491,0.752368289
LS_0120_pw_gray_XO,740,,1,0.006024893,0.78368761,0.994659469,0.752328225
LS_0120_pw_gray_XO,745,,1,0.006014991,0.783436656,0.994666501,0.752284233
LS_0120_pw_gray_XO,750,,1,0.006005409,0.783182132,0.99467323,0.752239283
LS_0120_pw_gray_XO,755,,1,0.005997105,0.782920917,0.994678792,0.752192037
LS_0120_pw_gray_XO,760,,1,0.005987203,0.782646986,0.994685681,0.752143365
LS_0120_pw_gray_XO,765,,1,0.00597826,0.78235811,0.994691628,0.752090947
LS_0120_pw_gray_XO,770,,1,0.005969636,0.782064549,0.994697266,0.752037342
LS_0120_pw_gray_XO,775,,1,0.005960054,0.781752919,0.994703633,0.751980753
LS_0120_pw_gray_XO,780,,1,0.005946639,0.781452443,0.99471347,0.751929243
LS_0120_pw_gray_XO,785,,1,0.00593578,0.781119176,0.994720834,0.75186918
LS_0120_pw_gray_XO,790,,1,0.005926198,0.78078524,0.994727069,0.75180805
LS_0120_pw_gray_XO,795,,1,0.005916296,0.780411596,0.994733325,0.751739055
LS_0120_pw_gray_XO,800,,1,0.005908311,0.780034161,0.994737865,0.751667889
LS_0120_pw_gray_XO,805,,1,0.005897771,0.779632188,0.994744509,0.751593589
LS_0120_pw_gray_XO,810,,1,0.00588723,0.779216608,0.994751069,0.751516517
LS_0120_pw_gray_XO,815,,1,0.005875093,0.778774259,0.994758874,0.751435157
