opt_segment,RMR_MODEL_LOGIN_1_model_score1,prevention_rate,bad_rate,goods_actioned,accuracy,num_of_sessions_total,login22_score,datatype
LS_0120_pw_good_AA,,0.013265306,0.001263997,0.000152388,0.099236641,775318,660,ALL
LS_0120_pw_good_AA,,0.013265306,0.001263997,0.000148514,0.1015625,775318,665,ALL
LS_0120_pw_good_AA,,0.01122449,0.001263997,0.00014464,0.089430894,775318,670,ALL
LS_0120_pw_good_AA,,0.010204082,0.001263997,0.000140765,0.084033613,775318,675,ALL
LS_0120_pw_good_AA,,0.010204082,0.001263997,0.000136891,0.086206897,775318,680,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.000131725,0.064220183,775318,685,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.00012656,0.066666667,775318,690,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.000125268,0.067307692,775318,695,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.000121394,0.069306931,775318,700,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.00011752,0.071428571,775318,705,ALL
LS_0120_pw_good_AA,,0.007142857,0.001263997,0.000112354,0.074468085,775318,710,ALL
LS_0120_pw_good_AA,,0.006122449,0.001263997,0.000111063,0.065217391,775318,715,ALL
LS_0120_pw_good_AA,,0.005102041,0.001263997,0.00010848,0.056179775,775318,720,ALL
LS_0120_pw_good_AA,,0.005102041,0.001263997,0.000107188,0.056818182,775318,725,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,9.69E-05,0.050632911,775318,730,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,9.04E-05,0.054054054,775318,735,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,8.91E-05,0.054794521,775318,740,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,8.65E-05,0.056338028,775318,745,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,8.27E-05,0.058823529,775318,750,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,8.01E-05,0.060606061,775318,755,ALL
LS_0120_pw_good_AA,,0.004081633,0.001263997,7.75E-05,0.0625,775318,760,ALL
